Label,Desc,Decision Option,Trade_off
Excluding Family Labour,1,rice-maize-coconut-areca palm,-333.0866152
Excluding Family Labour,1,rice-maize-coconut-areca palm,475.8137912
Excluding Family Labour,1,rice-maize-coconut-areca palm,-196.455086
Excluding Family Labour,1,rice-maize-coconut-areca palm,721.2986578
Excluding Family Labour,1,rice-maize-coconut-areca palm,2095.89574
Excluding Family Labour,1,rice-maize-coconut-areca palm,4238.867262
Excluding Family Labour,1,rice-maize-coconut-areca palm,2511.394421
Excluding Family Labour,1,rice-maize-coconut-areca palm,1910.039994
Excluding Family Labour,1,rice-maize-coconut-areca palm,246.3543845
Excluding Family Labour,1,rice-maize-coconut-areca palm,257.9945606
Excluding Family Labour,1,rice-maize-coconut-areca palm,-11215.69461
Excluding Family Labour,1,rice-maize-coconut-areca palm,6781.212466
Excluding Family Labour,1,rice-maize-coconut-areca palm,7150.886848
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2208.886825
Excluding Family Labour,1,rice-maize-coconut-areca palm,7890.122232
Excluding Family Labour,1,rice-maize-coconut-areca palm,4038.385008
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3354.259349
Excluding Family Labour,1,rice-maize-coconut-areca palm,7958.417687
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3545.492142
Excluding Family Labour,1,rice-maize-coconut-areca palm,43.44694015
Excluding Family Labour,1,rice-maize-coconut-areca palm,3160.745598
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1794.56971
Excluding Family Labour,1,rice-maize-coconut-areca palm,3255.186527
Excluding Family Labour,1,rice-maize-coconut-areca palm,-5419.288551
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3324.383492
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2855.937541
Excluding Family Labour,1,rice-maize-coconut-areca palm,95.88893055
Excluding Family Labour,1,rice-maize-coconut-areca palm,1558.736386
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2306.646306
Excluding Family Labour,1,rice-maize-coconut-areca palm,4693.135147
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1279.234054
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4147.392233
Excluding Family Labour,1,rice-maize-coconut-areca palm,-319.3893398
Excluding Family Labour,1,rice-maize-coconut-areca palm,-6957.942148
Excluding Family Labour,1,rice-maize-coconut-areca palm,-868.350418
Excluding Family Labour,1,rice-maize-coconut-areca palm,1173.960953
Excluding Family Labour,1,rice-maize-coconut-areca palm,-6898.514395
Excluding Family Labour,1,rice-maize-coconut-areca palm,-5783.947298
Excluding Family Labour,1,rice-maize-coconut-areca palm,2400.582288
Excluding Family Labour,1,rice-maize-coconut-areca palm,590.2189144
Excluding Family Labour,1,rice-maize-coconut-areca palm,6170.715571
Excluding Family Labour,1,rice-maize-coconut-areca palm,969.5792909
Excluding Family Labour,1,rice-maize-coconut-areca palm,185.3287649
Excluding Family Labour,1,rice-maize-coconut-areca palm,-8324.275893
Excluding Family Labour,1,rice-maize-coconut-areca palm,5236.940065
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3412.088602
Excluding Family Labour,1,rice-maize-coconut-areca palm,4225.424557
Excluding Family Labour,1,rice-maize-coconut-areca palm,-51.76136243
Excluding Family Labour,1,rice-maize-coconut-areca palm,-6586.343716
Excluding Family Labour,1,rice-maize-coconut-areca palm,957.1135881
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1066.085317
Excluding Family Labour,1,rice-maize-coconut-areca palm,419.8232411
Excluding Family Labour,1,rice-maize-coconut-areca palm,1040.582018
Excluding Family Labour,1,rice-maize-coconut-areca palm,2185.876885
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4392.961485
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1983.999705
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1282.589342
Excluding Family Labour,1,rice-maize-coconut-areca palm,731.850347
Excluding Family Labour,1,rice-maize-coconut-areca palm,-4148.637932
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3924.910009
Excluding Family Labour,1,rice-maize-coconut-areca palm,-7040.714138
Excluding Family Labour,1,rice-maize-coconut-areca palm,-9780.566008
Excluding Family Labour,1,rice-maize-coconut-areca palm,529.3328883
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1230.107116
Excluding Family Labour,1,rice-maize-coconut-areca palm,-2312.861347
Excluding Family Labour,1,rice-maize-coconut-areca palm,1356.495559
Excluding Family Labour,1,rice-maize-coconut-areca palm,2052.544823
Excluding Family Labour,1,rice-maize-coconut-areca palm,5943.023534
Excluding Family Labour,1,rice-maize-coconut-areca palm,-10345.44775
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1223.470257
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1090.195047
Excluding Family Labour,1,rice-maize-coconut-areca palm,-974.5615744
Excluding Family Labour,1,rice-maize-coconut-areca palm,2734.807072
Excluding Family Labour,1,rice-maize-coconut-areca palm,-1659.315709
Excluding Family Labour,1,rice-maize-coconut-areca palm,-3785.957774
