Label,Desc,Decision Option,Tradeoff
Including Family Labour,2,rubber-areca palm-durian,10412.25901
Including Family Labour,2,rubber-areca palm-durian,6940.180842
Including Family Labour,2,rubber-areca palm-durian,8413.943658
Including Family Labour,2,rubber-areca palm-durian,16104.62236
Including Family Labour,2,rubber-areca palm-durian,15889.22813
Including Family Labour,2,rubber-areca palm-durian,8156.345484
Including Family Labour,2,rubber-areca palm-durian,9470.936776
Including Family Labour,2,rubber-areca palm-durian,10596.97735
Including Family Labour,2,rubber-areca palm-durian,5503.058941
Including Family Labour,2,rubber-areca palm-durian,28373.88358
Including Family Labour,2,rubber-areca palm-durian,11772.62599
Including Family Labour,2,rubber-areca palm-durian,13373.58991
Including Family Labour,2,rubber-areca palm-durian,5756.575825
Including Family Labour,2,rubber-areca palm-durian,5832.065413
Including Family Labour,2,rubber-areca palm-durian,15232.09068
Including Family Labour,2,rubber-areca palm-durian,7586.055995
Including Family Labour,2,rubber-areca palm-durian,17423.63271
Including Family Labour,2,rubber-areca palm-durian,8301.752168
Including Family Labour,2,rubber-areca palm-durian,7396.084236
Including Family Labour,2,rubber-areca palm-durian,14386.93413
Including Family Labour,2,rubber-areca palm-durian,13557.55815
Including Family Labour,2,rubber-areca palm-durian,17970.36587
Including Family Labour,2,rubber-areca palm-durian,9408.042553
Including Family Labour,2,rubber-areca palm-durian,7172.492526
Including Family Labour,2,rubber-areca palm-durian,5944.833561
Including Family Labour,2,rubber-areca palm-durian,7725.829192
Including Family Labour,2,rubber-areca palm-durian,25471.12805
Including Family Labour,2,rubber-areca palm-durian,7071.01975
Including Family Labour,2,rubber-areca palm-durian,12809.58002
Including Family Labour,2,rubber-areca palm-durian,11073.23418
Including Family Labour,2,rubber-areca palm-durian,1981.354803
Including Family Labour,2,rubber-areca palm-durian,26772.78616
Including Family Labour,2,rubber-areca palm-durian,14032.39086
Including Family Labour,2,rubber-areca palm-durian,7520.217233
Including Family Labour,2,rubber-areca palm-durian,9692.651181
Including Family Labour,2,rubber-areca palm-durian,15314.34013
Including Family Labour,2,rubber-areca palm-durian,12080.64077
Including Family Labour,2,rubber-areca palm-durian,25064.75831
Including Family Labour,2,rubber-areca palm-durian,10593.46079
Including Family Labour,2,rubber-areca palm-durian,20616.34673
Including Family Labour,2,rubber-areca palm-durian,8750.09951
Including Family Labour,2,rubber-areca palm-durian,11086.19874
Including Family Labour,2,rubber-areca palm-durian,12159.60059
Including Family Labour,2,rubber-areca palm-durian,13394.10111
Including Family Labour,2,rubber-areca palm-durian,14163.13683
Including Family Labour,2,rubber-areca palm-durian,8560.630275
Including Family Labour,2,rubber-areca palm-durian,9862.140796
Including Family Labour,2,rubber-areca palm-durian,25238.16895
Including Family Labour,2,rubber-areca palm-durian,17629.79005
Including Family Labour,2,rubber-areca palm-durian,11251.8236
Including Family Labour,2,rubber-areca palm-durian,16369.37838
Including Family Labour,2,rubber-areca palm-durian,13496.49632
Including Family Labour,2,rubber-areca palm-durian,9060.283083
Including Family Labour,2,rubber-areca palm-durian,13260.33379
Including Family Labour,2,rubber-areca palm-durian,13507.99046
Including Family Labour,2,rubber-areca palm-durian,12634.37443
Including Family Labour,2,rubber-areca palm-durian,3488.000404
Including Family Labour,2,rubber-areca palm-durian,7561.706672
Including Family Labour,2,rubber-areca palm-durian,15911.75945
